"What is currently state-of-the-art?","Modern software reverse proxies such as Traefik, Caddy, Nginx, and HAProxy, plus cloud-based L4/L7 load balancers. Benchmark realistically.";
"Round-robin load balancing","Distributes requests by rotating sequentially through a list of servers. Simple, but can overload slow or congested nodes.";
"Weighted round-robin","Like round-robin, but stronger servers receive a larger share of requests.";
"Least connections","Load balancer sends a request to the server with the fewest currently open requests.";
"Peak EWMA","Peak exponentially weighted moving average. Load balancing algorithm that considers recent response latency.";
"Sticky session","Sends the same user to the same backend, often with a cookie or source IP hash. Useful for stateful services but usually avoided.";
"Health check","Mechanism for checking whether a backend is healthy before sending traffic to it.";
"Active health check","Load balancer sends probes, for example every few seconds, to check backend health.";
"Passive health check","Load balancer infers backend health from real request failures.";
"Out-of-band health check","Separate API or control-plane check, useful when a TCP connection works but a dependency like a database is broken.";
"Traefik","Open-source software load balancer and reverse proxy written in Go, with L4/L7 support, HTTP/3 support, and a dashboard.";
"Caddy","Open-source L7 reverse proxy and static file server with automatic HTTPS through Let's Encrypt.";
"Nginx","Fast web server, reverse proxy, mail proxy, and load balancer. It commonly uses passive health behavior.";
"HAProxy","Fast L4/L7 load balancer and reverse proxy with algorithms like roundrobin, leastconn, and source.";
"CORS","Cross-Origin Resource Sharing. Browsers restrict cross-origin HTTP requests from scripts.";
"Reverse proxy for CORS","A reverse proxy can make frontend assets and API appear under the same origin.";
"Server-Side Rendering","HTML is rendered on the server before being sent to the browser.";
"Single Page Application","The browser loads an app and updates the UI client-side without full page reloads.";
"Explain what MCP is why it exists and how tool calling works (tools/list tools/call JSON-RPC)","MCP is an open protocol by Anthropic that connects AI agents to external tools, data sources, and services. tools/list asks what tools exist and tools/call runs one.";
"Describe the MCP message flow between user client LLM and MCP server","The flow is user to assistant tool_call to tool result to assistant answer. Tool results must include the correct tool_call_id.";
"Discuss challenges of running MCP in the browser and how WebMCP addresses them","Browsers can block or limit external fetching. WebMCP can use browser-side tools such as an extension that injects client_web_search and acts like an MCP server.";
"What authentication mechanisms exists for web applications?","Passwords, MFA/2FA, TOTP, Basic Auth, Digest Auth, mTLS, session-based auth, JWT access and refresh tokens, and OAuth.";
"How can stateless authentication be achieved?","With JWTs. The server signs a token after login and the client sends it with Authorization Bearer token. Servers verify it without remembering a session.";
"Basic Auth","The client sends username and password in an HTTP request. It should use HTTPS because Base64 is encoding not security.";
"Digest Auth","Uses hash and nonce for replay protection. Password is not sent in clear text but password storage options are limited.";
"mTLS","Both sides verify each other. The client checks the server and the server checks the client certificate.";
"JWT","A JSON-based access token with header payload and signature.";
"Access token","Short-lived token such as 10 minutes. It can contain userId, role, and other trusted information.";
"Refresh token","Longer-lived token used to get a new access token from the auth server.";
"OAuth","Authorization for third party integrations without giving away passwords.";
"PKCE","OAuth variant for clients that cannot safely store a client secret such as mobile apps or SPAs.";
"What is a distributed system?","A group of computers working together so they appear as a single computer to the user.";
"How can it be categorized?","By transparency, fault tolerance, scalability, consistency, data replication, data partitioning, heterogeneity, and architecture.";
"What are transparencies?","Ways a distributed system hides its distributed nature from users.";
"CAP theorem","A distributed data store cannot simultaneously be consistent, available, and partition tolerant. Choose between consistency or availability.";
"Consistency","Every node has the same consistent state.";
"Availability","Every non-failing node always returns a response.";
"Partition tolerance","The system can deal with broken communication between nodes.";
"Location transparency","Users should be unaware of the physical location.";
"Access transparency","Users access resources in a uniform way, regardless of where or how they are implemented.";
"Migration transparency","Users should not notice when a resource moves to another location.";
"Relocation transparency","Users should not notice when a resource moves while it is being used.";
"Replication transparency","Replicas should appear as a single resource.";
"Concurrency transparency","Users should not need to know that other users are accessing the system at the same time.";
"Failure transparency","Users should not be aware of recovery mechanisms.";
"Security transparency","Users should be minimally aware of security mechanisms while the system still enforces security.";
"Fallacies of distributed computing","Things developers often assume about networks but should not assume.";
"Fallacies of distributed computing examples","The network is reliable, latency is zero, bandwidth is infinite, the network is secure, topology does not change, there is one administrator, transport cost is zero, and the network is homogeneous.";
"How do network layers work?","Network layers provide services to the layer above. Protocols let entities at the same layer on different hosts communicate.";
"What are the TCP mechanisms?","TCP is reliable and ordered. It uses retransmission, sequence numbers, ACKs, checksums, flow control, and congestion control.";
"What are the problems of TCP and how other protocols (HTTP/3) can improve that","TCP can require multiple round trips, and ordered delivery can delay everything. HTTP/3 uses QUIC with faster handshakes, built-in security, and multiplexing.";
"PDU","Protocol data unit. It contains a protocol header and payload called the SDU.";
"TCP three-way handshake","SYN SYN-ACK ACK establishes a TCP connection.";
"TCP retransmission timeout","If no ACK is received after a timeout TCP resends data.";
"Fast retransmit","Three duplicate ACKs can trigger retransmission of missing packets.";
"Flow control","Prevents the sender from overwhelming the receiver by using a sliding window.";
"Congestion control","TCP mechanisms such as slow-start and congestion avoidance reduce network overload.";
"TLS","Transport Layer Security. It uses client hello, server hello, key exchange, and finished messages.";
"QUIC","Transport protocol used by HTTP/3 with 1 RTT handshake, built-in security, and multiplexing.";
"UDP","Connectionless communication with no guarantee of delivery, ordering, or duplicate protection.";
"SCTP","Message-based transport protocol with multiple streams and multi-homing but not widely used.";
"DDoS amplification","UDP services can be abused to send larger spoofed responses to a victim.";
"Overview over important protocols on layer 7","Important application protocols include HTTP, WebSockets, Server Sent Events, WebRTC, DNS, Let's Encrypt/ACME, and mail protocols such as SMTP, POP, and IMAP.";
"Custom protocols ASN.1 RPC HTTP JSON WebSockets Server Sent Events","Custom protocols can be efficient but harder to build, test, debug, document, and keep compatible. ASN.1 is used for certs. RPC runs code remotely. HTTP transports data. JSON is a data format. WebSockets and SSE support browser communication.";
"Bencoding WebRTC DNS Let's Encrypt Mail Protocols","WebRTC enables browser P2P communication. DNS maps names to IPs. Let's Encrypt automates TLS certificates. Mail protocols include SMTP, POP, and IMAP.";
"IDL","Interface Description Language. It describes a protocol once so tools can generate code for different programming languages.";
"Protocol Buffers","Google data serialization with IDL. Goal is smaller and faster than XML.";
"gRPC","RPC framework using HTTP/2 and Protocol Buffers with features like authentication, streaming, flow control, and timeouts.";
"HTTP","Foundation of web data communication using request/response with resources identified by URL.";
"HTTP status codes","1xx informational 2xx success 3xx redirection 4xx client error and 5xx server error.";
"WebSockets","Full-duplex two-way communication over TCP after an HTTP upgrade.";
"Server Sent Events","One-way server to browser communication over a kept-open HTTP connection using EventSource.";
"WebRTC","Browser-to-browser real-time communication using APIs and encrypted data/media channels.";
"STUN","Discovers the public IP address and port seen from outside.";
"TURN","Relay fallback when direct peer-to-peer connection is not possible.";
"ICE","Collects and tests connection candidates and chooses the best working path.";
"DNS","Translates human-readable domain names to IP addresses.";
"DNSSEC","Provides DNS authentication and integrity but not confidentiality.";
"DoH","DNS over HTTPS sends DNS queries over HTTPS on port 443.";
"DoT","DNS over TLS sends DNS queries over TLS on port 853.";
"Let's Encrypt","Non-profit CA that provides automated domain-validation TLS certificates via ACME.";
"SMTP","Standard protocol for sending and receiving emails.";
"STARTTLS","Upgrades plaintext SMTP to TLS on the same port but can fall back to unencrypted.";
"SPF","DNS TXT policy listing allowed sending servers for a domain.";
"DKIM","Digital signature linked to DNS that verifies email integrity and sender authenticity.";
"DMARC","Builds on SPF and DKIM with policy and reporting.";
"Why does scaling lead to consensus problems?","Scaling means multiple components or servers. Unreliable components and replicas can create inconsistent state so the system needs consensus.";
"Fault models: crash faults vs. Byzantine faults","Crash faults mean a component fails or becomes unavailable. Byzantine faults mean arbitrary behavior such as lying for advantage.";
"Consensus algorithms: Paxos Raft","Paxos chooses a single value if a majority is available. Raft uses followers, candidates, and one leader with elections and heartbeats.";
"Consistency in DHTs: vDHT","vDHT uses no locking or timestamps. Every update creates a new version and conflicts may need manual resolution.";
"CRDTs: conflict-free data structures","CRDTs avoid leaders and majorities and can work during partitions but only for suitable data structures.";
"Tradeoffs between approaches","Paxos/Raft need majority or leader. vDHT may need app conflict resolution. CRDTs avoid leaders but need suitable merge logic.";
"Different ways to deploy your service - High-level overview","Use containers plus strategies such as rolling, blue-green, canary, feature toggles, and big bang. Options include Docker Compose, Podman, Docker Swarm, Kubernetes, Ansible services, and Terraform.";
"Consensus","Group decision-making where members agree on a decision in the best interest of the whole.";
"Paxos","Consensus algorithm with proposers, acceptors, and learners using prepare/promise and accept phases.";
"Raft","Consensus approach with followers, candidates, and a leader. Only one leader exists at a time.";
"vDHT","Versioned DHT with prepared and confirmed updates and conflict handling by the API user.";
"CRDT operation properties","Operations must be commutative, associative, and idempotent.";
"G-Counter","CRDT counter with one value per machine. Merging keeps the maximum value per position.";
"Rolling deployment","New version gradually replaces old version with minimal downtime and low risk.";
"Blue-Green deployment","Two environments exist. Blue is current production and green is new release. Switch after testing.";
"Canary release","Deploy new version to a small group first and expand if it works.";
"Feature toggle","Enable or disable features for specific users or groups.";
"Big bang deployment","Deploy everything at once. Simple but high risk with limited rollback.";
"Kubernetes","Container orchestration for deployment scaling and management.";
"Kubernetes Pod","Smallest deployable unit with one or more containers.";
"Kubernetes Service","Stable network endpoint for a set of pods.";
"Kubernetes Deployment","Manages desired state scale and hardware limits.";
"Terraform","Infrastructure as Code for describing servers, databases, networks, load balancers, DNS, and permissions.";
"Understand how Bitcoin works as a peer-to-peer system","Bitcoin has no central bank. Transactions are created by peers and broadcast to the whole network.";
"Get familiar with UTXO mining and proof-of-work","Coins are spent as whole UTXO pieces while miners create valid blocks by solving proof-of-work puzzles.";
"Be aware of risks like the 51% attack","An attacker with more than 50 percent computing power could influence transaction ordering and exclude transactions.";
"Reflect on advantages and disadvantages of Bitcoin","Bitcoin is decentralized and can have low fees and strong anonymity but has high power use volatility and scalability limits.";
"UTXO","Unspent transaction output. Bitcoin spends coins as whole pieces and returns change as a new output.";
"Mining","Process where miners search for a valid block hash that satisfies proof-of-work.";
"Proof-of-work","A puzzle requiring computation to create a valid block.";
"Blockchain","A chain of blocks where each block references the previous block by hash.";
"51 percent attack","An attacker with majority computing power can influence ordering and exclude transactions.";
